ztfname,ra_host,dec_host,mass_x,mass_err_x,restframe_gz_x,restframe_gz_err_x,d_dlr,mass_y,mass_err_y,restframe_gz_y,restframe_gz_err_y,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted
ZTF20acgrzjm,79.95819315327125,-20.96720576884659,10.091,0.1156027681329474,0.94269653,0.019104973175,0.8295306435249499,8.637,0.037,0.69869653,0.023600847442,0.0289567,0.00015044,z_gal,59047.44249976059,,,,,,,,,,,,,,0.0328469870818819,3.1,0.0,,79.957694,-20.965134,snia,,,,,
ZTF20acgsvwb,278.53934679,25.78602731,9.477,0.1019803902718557,0.61069653,0.023021728866,0.8641482591666884,8.511,0.04,0.50669653,0.054561891463,0.06281256,0.00662118,z_snid,59140.27852275169,0.0015351724075494,0.6997272156783507,-0.0313622401213118,0.165411689056782,5.106626995629864e-05,0.1795868664977599,0.0321683894384766,8.208177823162446e-07,-0.0017871753222838,-0.0006384524830735,-2.008201492303289e-06,-1.3606886561916066e-06,0.0002910651318359,0.1047567385149892,3.1,0.0,0.8186035626753383,278.540492,25.785869,snia-cosmo,norm,1.0,1.0,2020vav,100.0
ZTF20acgyixo,252.8402232715619,7.86218032297834,10.444,0.1062826420446913,1.04069653,0.019104973175,0.3318995144154507,9.497,0.046,1.03269653,0.023430749028,0.04368711,1.374e-05,z_gal,59134.607643255535,0.0014658185095136,3.463617053753409,-0.2270233966315171,0.7072532199199486,0.000169672999774,1.572520643109243,0.0772002691192116,2.898022455197894e-07,0.3900787253289019,-0.0174444770932178,-0.0002156866258379,-1.1773776209748544e-05,0.0624350466076761,0.075728366211844,3.1,0.0,0.085278546714717,252.841342,7.861645,snia,,1.0,0.0,2020tdy,100.0
ZTF20acgynyw,257.53638123522006,38.22954649553736,8.643,0.1044030650891055,0.33369653,0.074,0.2464134002439984,8.401,0.032,0.54969653,0.060415229868,0.07552942,1.088e-05,z_gal,59138.422780173474,0.0009688135077153,0.157133242148549,-0.0404939504766268,0.1194349278921436,2.924044886358084e-05,0.1623055955389075,0.0272299083696263,-6.716928297204286e-08,0.0124409880642453,6.273019603133024e-06,-6.597321411619221e-07,-6.802614708774451e-07,0.0004101910210073,0.0337912923963989,3.1,0.0,0.1084544671911378,257.53624,38.229563,snia-cosmo,norm,1.0,1.0,2020vcf,100.0
ZTF20acgyulx,256.2347721497287,21.006127385276983,10.857,0.1546738504078824,1.32869653,0.018384776311,1.5230841063786666,9.283,0.096,1.37869653,0.025238858928,0.05506872,1.581e-05,z_gal,59133.22218305854,0.0003837809245319,-4.071928041637648,0.269996654086336,0.216290639280487,1.5660536199183195e-05,0.3061808842101443,0.0379878012315791,-6.166982134559678e-07,0.0060708064061913,0.0002662656139985,-1.0747394660598626e-06,-4.907784557514684e-07,0.0011530750485105,0.0538596847110598,3.1,0.0,0.2851941993355232,256.233503,21.007407,snia,,1.0,0.0,2020vbu,100.0
ZTF20acgzjje,329.35928951,-19.82906596,10.682,0.107335921293852,1.27269653,0.018439088915,0.4230189911892617,9.398,0.053,1.24869653,0.031400636936,0.05750979,0.00015044,z_gal,59138.85643204761,0.0009437245112917,-2.4504077064316667,-0.0015395781467813,0.1629966743203112,3.283700378250152e-05,0.1902080509684898,0.0349244883122969,-2.879328945036131e-07,0.0044666570635913,-0.0001411994969632,-9.871779213629052e-07,-9.221514707594414e-07,-1.0629702718886517e-05,0.0231480846413178,3.1,0.0,0.3067321009577422,329.358521,-19.830084,snia-cosmo,norm,1.0,1.0,2020vco,100.0
ZTF20acgznau,343.29725092895967,11.113046697498271,9.327,0.1044030650891055,0.99269653,0.04,1.813675412539464,7.648,0.492,0.91969653,0.699346123175,0.07143515,1.572e-05,z_gal,59139.2635057958,0.0006990131297595,-0.201577707730137,0.0487288353925229,0.0893152989119698,2.171654738580592e-05,0.097125382064835,0.0295820918343012,3.2364112379690394e-08,0.0013184489041208,-5.022038657695185e-05,-2.2302095916805865e-07,-5.45879551045984e-07,-2.637716488126806e-05,0.0758247455147912,3.1,0.0,0.2457796729608914,343.298522,11.113538,snia-cosmo,norm,1.0,1.0,2020vas,100.0
ZTF20achadaa,331.0289392,-19.68523616,10.726,0.105304320899002,1.33669653,0.018439088915,0.1996872659812549,10.293,0.057,1.64769653,0.018439088915,0.03653194,1.414e-05,z_gal,59139.96371315412,0.0026629236623726,-0.3373225990478506,0.0502875374985743,0.1102578141835692,8.887434125054265e-05,0.1254283037096865,0.0320258935921326,4.378939813856429e-07,0.0011384871468909,-0.0002916483470909,-2.034836221791717e-06,-2.3695339680749577e-06,1.0972298854917775e-06,0.0216074803693409,3.1,0.0,0.9735590526020688,331.028553,-19.685721,snia-cosmo,norm,1.0,1.0,2020var,100.0
ZTF20achatyv,338.39206346,-20.76810796,10.314,0.1017889974407843,0.85969653,0.019849433241,0.8791998349375835,8.915,0.03,0.80469653,0.036124783736,0.06776688,0.00015044,z_gal,59126.865222951536,0.000891308392103,-0.9690060118133396,-0.0508964339938731,0.856551990895241,5.46916375800931e-05,0.3347056983715653,0.0416479879150745,-3.4944461806848495e-05,-0.1870115496288208,0.0121783834999934,5.276677103774101e-06,-1.7082189141777285e-06,-0.0019223966640617,0.0329260481014302,3.1,0.0,0.5079402556858221,338.391905,-20.766929,snia-cosmo,norm,0.0,1.0,2020uyr,100.0
ZTF20achawym,2.8096860435924,-6.459619585004703,9.776,0.1127120224288429,0.98669653,0.019849433241,0.1120807729828242,9.431,0.04,0.90969653,0.019209372712,0.02745566,0.00015044,z_gal,59143.345649228926,0.0064728175457509,-0.2982785816135133,-0.0532954702185672,0.0697422895391355,0.0002077470347431,0.085508546784318,0.0292091043176473,2.6901811112523924e-06,-0.000504625553473,-0.0002648181403165,-2.7067419019750723e-06,-5.202372043927938e-06,2.4255205500100475e-05,0.0262684076115558,3.1,0.0,0.9994742319087746,2.809489,-6.459395,snia-cosmo,norm,1.0,1.0,2020vcc,98.76543209876544
