ztfname,mass,mass_err,restframe_gz,restframe_gz_err
ZTF18aavsilo,10.339,0.124,1.44869653,0.017691806013
ZTF18aawcwsx,8.727,0.013,0.40169653,0.057584720196
ZTF18aawczad,9.348,0.076,1.25069653,0.02404163056
ZTF18aawdpnm,8.471,0.09,1.26669653,0.194139125371
ZTF18aawhyvl,9.709,0.038,0.98869653,0.025806975801
ZTF18aawmvbj,7.929,0.598,1.29369653,1.265537435242
ZTF18aawmxdx,9.643,0.044,1.13269653,0.017691806013
ZTF18aawnbgg,7.904,0.185,1.31569653,0.272237029076
ZTF18aawozzj,8.587,0.041,1.05369653,0.116468879964
ZTF18aawpcel,8.107,0.744,1.18069653,1.775814461029
ZTF18aawtveo,10.291,0.12,0.98969653,0.073817342136
ZTF18aawurud,10.251,0.06,1.32169653,0.019104973175
ZTF18aawxlxf,8.516,0.058,0.84969653,0.106023582282
ZTF18aaxavsk,8.444,0.086,0.37269653,0.06242595614
ZTF18aaxcfbt,9.008,0.035,0.92569653,0.067119296778
ZTF18aaxcntm,9.305,0.083,1.25069653,0.019849433241
ZTF18aaxcxih,8.303,0.072,0.73169653,0.149465715132
ZTF18aaxdrjn,8.791,0.068,1.30769653,0.031064449134
ZTF18aaxkfos,9.668,0.106,1.25269653,0.025
ZTF18aaxkjmm,8.77,0.079,1.12769653,0.398899736776
ZTF18aaxmacd,7.871,0.241,0.78069653,0.71463627112
ZTF18aaxmixe,9.984,0.074,1.21169653,0.022627416998
ZTF18aaxmmyt,9.774,0.056,1.46269653,0.022627416998
ZTF18aaxmnkw,8.596,0.034,0.89069653,0.073430239003
ZTF18aaxnkos,8.843,0.039,0.72769653,0.055154328933
ZTF18aaxokeg,9.456,0.064,0.88969653,0.018439088915
ZTF18aaxqyki,6.753,0.523,0.79369653,1.243706155006
ZTF18aaxrabr,8.157,0.45,0.92169653,1.949877944898
ZTF18aaxrvzj,7.845,0.241,0.59069653,0.75172933959
ZTF18aaxsioa,8.655,0.03,0.99569653,0.044407206622
ZTF18aaxtcdm,7.831,0.169,0.68269653,0.197800404449
ZTF18aaxvpsw,10.187,0.075,1.34569653,0.020518284529
ZTF18aaxwjmp,8.282,0.057,0.68769653,0.102883429181
ZTF18aaxxewy,8.679,0.039,0.76269653,0.055317266744
ZTF18aaxxfah,7.927,0.146,0.66069653,0.165614009069
ZTF18aaxzhzf,8.713,0.168,0.74069653,0.111126054551
ZTF18aaybfsd,9.232,0.101,1.18569653,0.019104973175
ZTF18aaydmkh,9.853,0.116,1.54169653,0.021931712199
ZTF18aayiahw,8.561,0.219,1.77269653,1.14411931196
ZTF18aayidfz,7.572,0.861,0.95369653,2.342005337312
ZTF18aayivfs,8.069,0.207,-0.34030347,0.844514061458
ZTF18aayivoq,10.307,0.034,1.31569653,0.018384776311
ZTF18aayivxm,8.456,0.08,0.57269653,0.124169239347
ZTF18aayjomr,10.015,0.018,1.33069653,0.034205262753
ZTF18aayjvve,8.271,0.066,1.08369653,0.151327459504
ZTF18aayjyub,6.874,0.347,1.47369653,0.542418657496
ZTF18aaykjei,8.63,0.028,0.76669653,0.065
ZTF18aaykmzg,9.877,0.116,1.27669653,0.019104973175
ZTF18aaykuzt,8.239,0.074,0.60769653,0.20784850252
ZTF18aaylbjm,8.682,0.037,0.55069653,0.054230987452
ZTF18aaylcvo,8.973,0.021,1.34369653,0.023430749028
ZTF18aaytovs,9.294,0.018,1.20769653,0.026248809497
ZTF18aayxupv,9.188,0.081,1.18169653,0.020518284529
ZTF18aayyimm,9.742,0.028,1.18969653,0.044294469181
ZTF18aazabmh,,-9.0,,
ZTF18aazblzy,,-9.0,,
ZTF18aazcoob,8.671,0.108,1.37469653,0.141598022585
ZTF18aazgeqs,8.762,0.039,0.95169653,0.034058772732
ZTF18aazgfkq,10.078,0.021,1.36769653,0.020518284529
ZTF18aazgkhl,,-9.0,,
ZTF18aazhwnh,9.927,0.169,1.30169653,0.021400934559
ZTF18aazixbw,8.584,0.046,0.82369653,0.046097722286
ZTF18aazjztm,9.62,0.086,1.17369653,0.025495097568
ZTF18aaznkid,9.836,0.089,1.30269653,0.018439088915
ZTF18aazsabq,9.17,0.1,1.43269653,0.025495097568
ZTF18aazxdyy,9.995,0.054,1.26569653,0.018439088915
ZTF18aazxthg,7.84,0.031,0.52769653,0.080056230239
ZTF18abadjhx,9.325,0.015,0.96069653,0.022627416998
ZTF18abaeawz,9.386,0.015,0.85669653,0.031384709653
ZTF18abakjgq,5.938,0.248,-3.82930347,7.624962426137
ZTF18abakunn,10.429,0.038,1.30969653,0.017691806013
ZTF18abatffv,7.536,0.412,0.84169653,0.985195412088
ZTF18abathhi,10.216,0.12,1.43669653,0.018439088915
ZTF18abauprj,7.893,0.183,1.35469653,0.533240096017
ZTF18abaxlpi,9.047,0.036,0.79269653,0.023853720884
ZTF18abbikrz,10.13,0.125,1.27469653,0.017691806013
ZTF18abbodly,9.688,0.114,1.52569653,0.021213203436
ZTF18abbpeqo,8.909,0.051,1.03269653,0.042190046219
ZTF18abbqjds,8.866,0.023,0.81069653,0.048548944376
ZTF18abbvsiv,9.559,0.071,1.36769653,0.019798989873
ZTF18abcdzyc,9.891,0.077,1.27469653,0.020615528128
ZTF18abcecfi,8.27,0.055,0.58869653,0.117745488236
ZTF18abcflnz,7.648,0.057,0.57269653,0.138322087896
ZTF18abcicrq,9.067,0.036,1.09369653,0.053235326617
ZTF18abckujg,8.197,0.047,0.60869653,0.095859271852
ZTF18abckujq,7.532,0.22,0.65569653,0.26225178741
ZTF18abclalx,8.512,0.074,1.07069653,0.119707978013
ZTF18abclfee,8.301,0.011,0.48669653,0.027018512172
ZTF18abcoxmc,9.013,0.042,0.84269653,0.019849433241
