ztfname,ra_host,dec_host,mass,mass_err,restframe_gz,restframe_gz_err,d_dlr
ZTF18aawpcel,195.3187727996096,59.8099530405165,9.648,0.1033247308247159,0.69669653,0.08664871609,2.543020128246147
ZTF18aawtveo,253.3543447906709,64.12430026450538,10.844,0.1400142849854971,1.10269653,0.041146081223,0.0210143160927979
ZTF18aawurud,280.73007188851767,50.65951083105179,10.521,0.1131768527570898,1.22969653,0.018439088915,0.167406983092316
ZTF18aawxlxf,165.5738795742976,58.23557796073785,10.491,0.1011187420807834,0.89969653,0.021260291625,0.8987936225267974
ZTF18aaxavsk,264.58290953855186,67.84940307536628,8.882,0.1109233969908963,0.34769653,0.059808026217,0.3634708829234507
ZTF18aaxcfbt,164.6132565501565,51.69558921579139,9.91,0.1049952379872535,0.61469653,0.025,0.2147322313483973
ZTF18aaxcntm,247.04818047804392,39.8218751671248,10.773,0.1293213052826177,1.18169653,0.019209372712,0.3743951867372699
ZTF18aaxcxih,284.75367723211446,63.755351735143705,8.571,0.1092520022699813,0.84169653,0.130291979799,1.195892823032373
ZTF18aaxdrjn,185.00632415373224,56.16290458643692,10.632,0.1407160260951111,1.31369653,0.018439088915,0.9768884820060384
ZTF18aaxkfos,160.33777029122942,45.67033777016458,9.865,0.1084619749036499,1.17069653,0.024413111231,0.1382803061970435
ZTF18aaxkjmm,236.37116586692764,35.855274809861555,9.263,0.1268227108999015,1.26369653,0.081301906497,0.3031833061294675
ZTF18aaxmacd,185.14220043506,22.8420283781414,8.747,0.1819450466487065,0.90969653,0.268732208713,1.0489032497296935
ZTF18aaxmixe,216.66733238173933,7.618318607532102,10.076,0.1238103388251562,1.12469653,0.021400934559,0.0867323863384838
ZTF18aaxmmyt,227.68139429232568,5.480901650025823,10.186,0.1088531120363584,1.28469653,0.020615528128,0.1085541334982119
ZTF18aaxmnkw,220.3184749339708,9.466195069604089,9.569,0.1026109155986827,0.85169653,0.028301943396,0.9928015343233656
ZTF18aaxnkos,156.52661461902,47.27320205382234,10.231,0.1044030650891055,0.71469653,0.019209372712,0.5053051860108285
ZTF18aaxokeg,195.4804711656633,22.77108486481679,9.757,0.1238103388251562,0.93269653,0.019104973175,0.1030760491012092
ZTF18aaxqyki,232.5755812555696,57.65903114088257,8.049,0.2563123094976127,0.86369653,0.508296173505,2.323434517917752
ZTF18aaxrabr,216.5186876134592,37.84148772518531,10.908,0.1274401820463232,1.34269653,0.051078371156,1.398566376056201
ZTF18aaxrvzj,241.739604584797,59.0152331777192,8.281,0.2627717640843475,0.66069653,1.973675758578,0.3975399709987371
ZTF18aaxsioa,252.41377549786057,45.49273235163791,9.096,0.1011187420807834,0.98269653,0.020518284529,0.6962462572163047
ZTF18aaxtcdm,231.54988429226984,6.357233088090871,8.644,0.1744964183013508,1.33669653,0.128456218222,0.2951714473817614
ZTF18aaxvpsw,224.976521108526,39.07875682782661,10.441,0.1077032961426901,1.29969653,0.022203603311,0.0825027894313995
ZTF18aaxwjmp,252.9058683120769,61.54538565272595,8.802,0.1100727032465361,0.36169653,0.105261578936,0.2806201305844994
